Country,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,53,0,0,0,0,0,0,53,0,26,0,0,0,215,0,80,26,53,53,53,134,0,0,53,26,80,107,53,0,134,0,269,26,53,107,107,107,349,134,134,242,53,0,242,134,53,134,134,107,457,403,26,107,134,242,161,322,295,53,26,26,188,215,295,80,215,215,134,645,161,0,538,995
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,47,0,0,23,71,47,0,142,47,0,47,47,94,23,71,47,94,213,331,663,449,592,520,497,473,284,710,497,449,426,473,307,236,284,378,71,189,213,189,236,118,189,94,142,165,118,165,142,71,142,94,47,118,142,165,118,142,189,118,189,165,165,165,142,142,165,142,165,165,165,236,189,213,189,142,165,189,189,165,189,142,142,189,213,189
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,22,0,0,0,0,0,22,0,22,0,0,44,44,89,112,44,1370,0,0,134,89,112,22,67,179,134,112,314,89,134,134,67,157,224,157,157,67,44,179,202,179,157,224,202,157,112,224,157,89,157,359,112,314,89,202,202,247,157,112,269,89,516,202,224,0,247,179,269,202,292,382,269,247,337,471,179,224,224,179,292,337,314,292,741,584,134
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,677,0,0,677,677,0,0,338,0,338,338,677,338,0,338,677,338,338,338,338,0,677,677,0,0,1016,338,0,338,338,0,677,338,0,677,1355,338,0,677,338,338,338,338,338,338,338,1016,1016,1693,338,1016,1016,1016,1355,1016,1355,2032,1355,2371,5081,2371,2371,1355,2710,6436,4065,2032,2371,2371,3387
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,113,113,0,226,113,113,226,791,1018,565,1357,1809,1131,0,4524,2262,0,3393,1131,2036,2036,1809,2601,3393,2488,2714,2036,1470,2036,1809,1018,0,1922,3732,0,3054,2375,2149,4750,0,1583,678,791,2262,1244,452,565,791,226,226,678,226,113,565,113,339,226,339,113,226,226,113,0,0,339,113,0,226,452,113,113,226,226,2601,0,0,0,0,113,113,0,226,0,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,18,0,0,0,0,0,0,6,0,0,12,6,24,24,18,6,37,18,24,30,43,24,61,92,55,43,61,55,61,43,24,55,30,43,18,49,30,12,30,12,30,6,18,80,43,49,86,68,68,117,86,92,99,86,130,130,99,136,148,123,173,130,130,136,92,142,173,247,136,229,229,216,185,216,260
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,316,0,105,316,527,0,0,0,632,421,316,316,421,316,421,210,0,0,949,0,738,210,316,421,527,316,421,527,527,421,421,210,421,0,949,421,0,1054,527,421,738,421,527,527,421,527,632,421,421,632,527,421,527,527,421,632,527,527,527,632,0,843,527,527,632,421,632
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,174,0,0,87,87,437,0,962,1399,2623,699,1137,2973,0,8571,6035,5597,6822,7172,16793,10758,16005,11545,12244,14344,16180,35248,17930,24752,43382,28600,22215,26501,22215,24752,36472,26764,25364,20116,12682,14868,23090,19941,16530,20816,15481,9883,10845,14868,8134,9533,5422,6909,6997,8046,28250,6647,9271,5247,6559,4460,4723,7172,5247,4897,4023,4110,2448,2448,3673,3148,2274,2186,3760,2798,1924,2623,2099,3673,2011,1224,1661,1661,1486,2274,0,2798,1311
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,264,0,88,176,88,0,88,264,88,264,88,88,352,264,88,0,88,176,0,88,88,88,264,264,264,88,176,352,264,176,352,264,352,440,440,528,352,440,968,352,704,352,352,528,1233,880,1056,88,352,440,1321,880,1409,1321,880,880,968,1145,528,1145,616,880,264,2642,2906,2113,1321,1056,2378
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23466,300,2105,1203,2406,1203,1504,1805,1203,902,601,1805,300,1203,0,300,601,1203,300,0,902,601,902,601,601,0,0,0,300,902,0,601,0,0,0
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,133,0,0,33,33,42,62,66,76,76,100,105,138,176,210,386,186,377,200,377,634,591,639,558,319,424,596,940,992,916,1045,959,534,496,825,825,1952,1723,1685,1150,1456,2291,2052,2353,2043,1561,1384,1508,2859,3050,3150,3685,2955,2444,2515,3656,3890,3733,4315,3341,2549,3556,4974,5036,5127,5265,4535,2773,3704,5112,5270,6177,4549,4430,2238,3365,6029,6172,7017,4654,4759
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,39,0,0,158,0,0,39,39,0,39,0,0,0,39,79,0,0,79,0,0,118,198,0,793,0,0,39,0,0,396,118,0,79,39,0,79,118,0,0,0,0,1744,0,0,237,0,436,0,555,0,39,0,0,0,0,356,277,118,0,237,237,158,0,0,0,634,237,79,39,118,79,277,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,80,107,26,80,0,188,26,134,53,242,53,485,134,107,647,431,593,323,1322,1241,1268,1565,1133,1349,2131,1592,2266,1727,1700,3319,3912,3858,3211,4317,3157,4479,2158,3804,7204,1430,4614,5343,4803,485,3696,8473,2185,7906,0,4641,9066,4749,4722,755,3346,4776,3319,4749,6908,0,3696,3157,2779,1619,1888,3130,3346,2509,2968,1861,3265,2536,3400,3022,2752,2536,5990,836,1861,2779,3750,1754,1915
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,53,106,0,53,53,106,0,213,213,106,213,266,373,160,320,266,480,427,427,373,106,533,694,0,587,533,373,320,427,694,427,320,373,427,480,480,1067,0,373,694,694,533,266,320,213,480,533,427,587,640,587,1174,1388,1441,1548,1494,1655,1868,2402,2189,2295,2402,2295,2402,1868,2616,2883,2829,3043,3150,4004,4645,4324,4912,4965
China,17,11,10,17,18,18,27,30,33,32,40,45,46,52,52,62,63,69,77,69,104,86,102,101,76,70,97,82,84,78,69,107,50,37,20,31,33,25,30,22,27,22,21,20,19,16,12,15,7,5,10,7,10,9,7,5,2,5,4,6,5,2,4,3,2,3,3,2,5,4,2,2,2,1,0,1,1,0,2,0,1,0,0,0,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,0,0,60,0,0,80,80,40,20,40,120,140,60,221,80,80,302,221,402,181,60,302,80,261,181,261,261,201,140,201,181,201,161,221,181,322,181,302,0,624,322,362,402,382,201,422,342,362,322,281,322,322,422,322,241,362,422,342,443,604,463,443,463,523,543,382,624,745,986,604,805,725,845,1168,1208
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,188,282,282,0,376,376,752,564,846,564,940,564,940,752,1034,1222,846,940,846,658,752,1505,282,376,564,470,658,752,752,564,282,188,282,282,188,376,0,940,376,376,376,282,564,470,658,282,282,376,282,94,564,282,188,188,94,282,188,94,188,564,282,0,188,0,0,188,0,0,94,94,188,188,94,94,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,345,172,0,345,517,0,690,0,1898,1726,0,3106,2243,1208,0,3106,0,5695,2761,3797,3106,0,1380,5350,3279,1726,2243,0,0,4315,2416,3797,0,4315,0,1553,1553,1035,2416,1726,4142,0,690,0,2071,1553,0,2934,2589,1553,1553,1726,0,3279,0,1208,0,690,0,1035,690,1035,0,863,0,517,517,1208,0,0,345,0,345,517,0,0,517,517,345,690,0,345,690,172
